Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33485708k(21565300k free), swap 35582860k(14120676k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2021-01-22T21:36:35.061+0800: 45.763: [GC (Allocation Failure) 2021-01-22T21:36:35.061+0800: 45.763: [DefNew: 139825K->50K(157248K), 0.0018666 secs] 168832K->29057K(506816K), 0.0019112 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:35.625+0800: 46.328: [GC (Allocation Failure) 2021-01-22T21:36:35.625+0800: 46.328: [DefNew: 139826K->47K(157248K), 0.0017352 secs] 168833K->29054K(506816K), 0.0017759 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:36.227+0800: 46.929: [GC (Allocation Failure) 2021-01-22T21:36:36.227+0800: 46.929: [DefNew: 139823K->52K(157248K), 0.0015639 secs] 168830K->29059K(506816K), 0.0016107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:36.782+0800: 47.485: [GC (Allocation Failure) 2021-01-22T21:36:36.782+0800: 47.485: [DefNew: 139828K->49K(157248K), 0.0017994 secs] 168835K->29057K(506816K), 0.0018388 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:37.328+0800: 48.030: [GC (Allocation Failure) 2021-01-22T21:36:37.328+0800: 48.031: [DefNew: 139825K->59K(157248K), 0.0014084 secs] 168833K->29066K(506816K), 0.0014545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:37.868+0800: 48.570: [GC (Allocation Failure) 2021-01-22T21:36:37.868+0800: 48.570: [DefNew: 139835K->48K(157248K), 0.0013338 secs] 168842K->29056K(506816K), 0.0013696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:38.402+0800: 49.104: [GC (Allocation Failure) 2021-01-22T21:36:38.402+0800: 49.104: [DefNew: 139824K->59K(157248K), 0.0017190 secs] 168832K->29067K(506816K), 0.0017560 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:38.925+0800: 49.628: [GC (Allocation Failure) 2021-01-22T21:36:38.925+0800: 49.628: [DefNew: 139835K->70K(157248K), 0.0020035 secs] 168843K->29078K(506816K), 0.0020550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:39.501+0800: 50.203: [GC (Allocation Failure) 2021-01-22T21:36:39.501+0800: 50.203: [DefNew: 139846K->57K(157248K), 0.0017941 secs] 168854K->29065K(506816K), 0.0018447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-01-22T21:36:40.045+0800: 50.748: [GC (Allocation Failure) 2021-01-22T21:36:40.045+0800: 50.748: [DefNew: 139833K->58K(157248K), 0.0015944 secs] 168841K->29066K(506816K), 0.0016414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
